unique_id,filename,src_url,target_country,src_country,caption,llm_edit,comp_url,src_local_path,comp_local_path
0b52f07a96def9e2,bird_arara.jpg,https://storage.googleapis.com/image-transcreation/part1/brazil/bird_arara.jpg,japan,brazil,a blue and yellow parrot sitting on a branch,a blue and yellow macaw perched on a cherry blossom branch,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/brazil_bird_arara.png,https://storage.googleapis.com/image-transcreation/part1/brazil/bird_arara.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/brazil_bird_arara.png
23bbf7bb229cd093,bird_green-headed-tanager.jpg,https://storage.googleapis.com/image-transcreation/part1/brazil/bird_green-headed-tanager.jpg,japan,brazil,a colorful bird is perched on a tree branch,A vibrant bird is sitting on a sakura tree branch,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/brazil_bird_green-headed-tanager.png,https://storage.googleapis.com/image-transcreation/part1/brazil/bird_green-headed-tanager.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/brazil_bird_green-headed-tanager.png
1190f82bb02478d5,bird_tucano.jpg,https://storage.googleapis.com/image-transcreation/part1/brazil/bird_tucano.jpg,japan,brazil,a toucan is perched on a branch in a zoo,A toucan is sitting on a tree branch in a zoo in Japan,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/brazil_bird_tucano.png,https://storage.googleapis.com/image-transcreation/part1/brazil/bird_tucano.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/brazil_bird_tucano.png
db57a3ccb82f6b6d,bird_sabiá-laranjeira.jpg,https://storage.googleapis.com/image-transcreation/part1/brazil/bird_sabiá-laranjeira.jpg,japan,brazil,a small bird is standing on a piece of wood,A little bird is perched on a wooden branch,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/brazil_bird_sabiá-laranjeira.png,https://storage.googleapis.com/image-transcreation/part1/brazil/bird_sabiá-laranjeira.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/brazil_bird_sabiá-laranjeira.png
4d63288c5ba1f141,bird_great-kiskadee.jpg,https://storage.googleapis.com/image-transcreation/part1/brazil/bird_great-kiskadee.jpg,japan,brazil,a small yellow and gray bird sitting on a branch,a little yellow and gray bird perched on a tree branch in Japan,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/brazil_bird_great-kiskadee.png,https://storage.googleapis.com/image-transcreation/part1/brazil/bird_great-kiskadee.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/brazil_bird_great-kiskadee.png
56789fed9ed3e84f,mammal_jaguar.jpg,https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_jaguar.jpg,japan,brazil,a jaguar walking on the side of a road,a tiger walking on the side of a street in Japan,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/brazil_mammal_jaguar.png,https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_jaguar.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/brazil_mammal_jaguar.png
b11517944be0971c,mammal_muriqui.jpg,https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_muriqui.jpg,japan,brazil,a monkey is hanging from a tree branch,A macaque is hanging from a sakura tree branch,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/brazil_mammal_muriqui.png,https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_muriqui.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/brazil_mammal_muriqui.png
21437d39ac709f79,mammal_capybara.jpg,https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_capybara.jpg,japan,brazil,a brown capybara sitting on the ground next to a tree,a brown capybara sitting on the ground next to a sakura tree,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/brazil_mammal_capybara.png,https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_capybara.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/brazil_mammal_capybara.png
106a691cd347c567,mammal_giant-anteater.jpg,https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_giant-anteater.jpg,japan,brazil,a large anteater walking on the ground in a zoo,a giant anteater strolling on the zoo grounds,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/brazil_mammal_giant-anteater.png,https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_giant-anteater.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/brazil_mammal_giant-anteater.png
2466c100def6df01,mammal_maned-wolf.jpg,https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_maned-wolf.jpg,japan,brazil,a spotted hyena walking across a grassy area,a striped hyena strolling through a field of green,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/brazil_mammal_maned-wolf.png,https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_maned-wolf.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/japan/brazil_mammal_maned-wolf.png
